     x              y              y-prima
   2.89499998      -1.59362590      0.491185099    
   2.89999986      -1.59113789      0.504006684    
   2.90499997      -1.58858585      0.516817093    
   2.90999985      -1.58596981      0.529616773    
   2.91499996      -1.58328974      0.542406201    
   2.92000008      -1.58054578      0.555185795    
   2.92499995      -1.57773793      0.567955971    
   2.93000007      -1.57486629      0.580717206    
   2.93499994      -1.57193077      0.593469918    
   2.94000006      -1.56893158      0.606214523    
   2.94499993      -1.56586862      0.618951499    
   2.95000005      -1.56274199      0.631681263    
   2.95499992      -1.55955184      0.644404292    
   2.96000004      -1.55629802      0.657121003    
   2.96499991      -1.55298066      0.669831872    
   2.97000003      -1.54959977      0.682537377    
   2.97499990      -1.54615533      0.695237935    
   2.98000002      -1.54264736      0.707934022    
   2.98499990      -1.53907597      0.720626056    
   2.99000001      -1.53544116      0.733314514    
   2.99499989      -1.53174293      0.745999873    
   3.00000000      -1.52798128      0.758682549    
