  z                 v                vq               dif
   12.6924114      0.393547893      0.393936187       9.85678583E-02
   12.7217646      0.392641664      0.393027246       9.81057808E-02
   12.7511177      0.391739368      0.392122477       9.77013260E-02
   12.7804699      0.390841335      0.391221911       9.72787142E-02
   12.8098230      0.389947504      0.390325457       9.68302339E-02
   12.8391762      0.389057726      0.389433086       9.63863283E-02
   12.8685293      0.388171881      0.388544798       9.59777236E-02
   12.8978825      0.387290329      0.387660533       9.54970717E-02
   12.9272346      0.386412621      0.386780322       9.50671583E-02
   12.9565878      0.385538816      0.385904074       9.46497545E-02
   12.9859409      0.384668857      0.385031790       9.42604467E-02
   13.0152941      0.383802921      0.384163439       9.38451365E-02
   13.0446472      0.382940918      0.383298993       9.34192166E-02
   13.0739994      0.382082999      0.382438451       9.29436609E-02
   13.1033525      0.381228328      0.381581724       9.26134363E-02
   13.1327057      0.380378097      0.380728841       9.21242386E-02
   13.1620588      0.379531205      0.379879773       9.17574391E-02
   13.1914120      0.378688067      0.379034489       9.13959593E-02
   13.2207642      0.377849013      0.378192961       9.09452662E-02
   13.2501173      0.377013296      0.377355158       9.05943438E-02
   13.2794704      0.376181662      0.376521051       9.01380777E-02
   13.3088236      0.375353277      0.375690609       8.97899717E-02
   13.3381758      0.374528825      0.374863863       8.93758386E-02
   13.3675289      0.373707891      0.374040723       8.89829174E-02
   13.3968821      0.372890383      0.373221159       8.86273384E-02
   13.4262352      0.372076541      0.372405201       8.82533342E-02
   13.4555883      0.371266365      0.371592820       8.78527835E-02
   13.4849405      0.370459557      0.370783985       8.74978676E-02
   13.5142937      0.369656295      0.369978637       8.71244669E-02
   13.5436468      0.368856668      0.369176775       8.67082551E-02
   13.5730000      0.368060201      0.368378401       8.63784105E-02
   13.6023531      0.367267072      0.367583454       8.60706493E-02
   13.6317053      0.366477937      0.366791964       8.56144875E-02
   13.6610584      0.365691781      0.366003841       8.52614343E-02
   13.6904116      0.364908814      0.365219116       8.49631801E-02
   13.7197647      0.364129364      0.364437729       8.46138075E-02
   13.7491179      0.363353521      0.363659680       8.41883942E-02
   13.7784700      0.362580627      0.362884998       8.38753656E-02
   13.8078232      0.361811131      0.362113565       8.35190937E-02
   13.8371763      0.361045063      0.361345410       8.31193104E-02
   13.8665295      0.360281855      0.360580504       8.28245208E-02
   13.8958817      0.359522164      0.359818846       8.24531913E-02
   13.9252348      0.358765572      0.359060377       8.21044594E-02
   13.9545879      0.358012110      0.358305097       8.17701519E-02
   13.9839411      0.357261807      0.357553005       8.14420506E-02
   14.0132942      0.356514663      0.356804043       8.11034963E-02
   14.0426464      0.355770648      0.356058240       8.07711706E-02
   14.0719995      0.355029702      0.355315536       8.04451406E-02
   14.1013527      0.354292005      0.354575902       8.00666139E-02
   14.1307058      0.353557229      0.353839368       7.97363445E-02
   14.1600590      0.352825403      0.353105873       7.94293359E-02
   14.1894112      0.352096677      0.352375448       7.91119039E-02
   14.2187643      0.351370841      0.351648003       7.88179040E-02
   14.2481174      0.350648046      0.350923568       7.85135254E-02
