 x   y1   y2   y3   y4
   1.49000001     -0.867714286     -0.827198625      -1.90871036       4.67448711    
   1.50000000     -0.875705600     -0.771145642      -1.86184561       4.69761562    
   1.50999999     -0.883138895     -0.715607345      -1.81477523       4.71561146    
   1.51999998     -0.890019774     -0.660677135      -1.76755047       4.72848845    
   1.52999997     -0.896354795     -0.606447995      -1.72022247       4.73626852    
   1.53999996     -0.902151406     -0.553012431      -1.67284203       4.73898172    
   1.54999995     -0.907418013     -0.500462294      -1.62545967       4.73666668    
   1.55999994     -0.912163913     -0.448888481      -1.57812536       4.72937012    
   1.56999993     -0.916399360     -0.398380727      -1.53088868       4.71714783    
   1.57999992     -0.920135379     -0.349027425      -1.48379862       4.70006418    
   1.58999991     -0.923384011     -0.300915271      -1.43690336       4.67819118    
   1.59999990     -0.926158071     -0.254129082      -1.39025044       4.65160990    
   1.61000001     -0.928471267     -0.208751395      -1.34388649       4.62040949    
   1.62000000     -0.930338085     -0.164862230      -1.29785728       4.58468819    
   1.63000000     -0.931773782     -0.122538701      -1.25220740       4.54455137    
   1.63999999     -0.932794333      -8.18546861E-02  -1.20698059       4.50011349    
   1.64999998     -0.933416545      -4.28804532E-02  -1.16221917       4.45149612    
